Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"TSI_[4..1]","OffPage","03 MCU","3","MAIN","","600","190","4D","(4)"
"E26","OffPage","04 MODULE","4","MAIN","SW1.1,SW1.2","850","380","3C","(3)"
"E26","OffPage","03 MCU","3","MAIN","U4.47","710","840","3B","(4)"
"OV7620_PCLK","OffPage","04 MODULE","4","MAIN","J2.9","1050","210","2D","(3)"
"OV7620_PCLK","OffPage","03 MCU","3","MAIN","U4.59","1450","880","1A","(4)"
"E27","OffPage","04 MODULE","4","MAIN","SW2.1,SW2.2","850","420","3C","(3)"
"E27","OffPage","03 MCU","3","MAIN","U4.48","710","850","3B","(4)"
"A4","OffPage","04 MODULE","4","MAIN","SW3.1,SW3.2","850","460","3C","(3)"
"A4","OffPage","03 MCU","3","MAIN","U4.54","1450","910","1A","(4)"
"RESET","OffPage","04 MODULE","4","MAIN","SW4.1,SW4.2","850","500","3C","(3)"
"RESET","OffPage","03 MCU","3","MAIN","C10.2,J1.15,R10.2,U4.74","1490","650","1B","(4)"
"ADC0_DM0","OffPage","04 MODULE","4","MAIN","R35.2,RP1.2,RP1.3","1120","440","2C","(3)"
"ADC0_DM0","OffPage","03 MCU","3","MAIN","U4.28","710","580","3B","(4)"
"ADC0_DP0","OffPage","04 MODULE","4","MAIN","R30.1,R36.2","1120","450","2C","(3)"
"ADC0_DP0","OffPage","03 MCU","3","MAIN","U4.27","710","570","3B","(4)"
"AD1","OffPage","04 MODULE","4","MAIN","C34.2,R24.2","1560","340","1C","(3)"
"AD1","OffPage","03 MCU","3","MAIN","U4.35","710","650","3B","(4)"
"AD2","OffPage","04 MODULE","4","MAIN","C38.2,R37.2","1560","460","1C","(3)"
"AD2","OffPage","03 MCU","3","MAIN","U4.36","710","660","3B","(4)"
