Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"RMII_RX0","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.8","750","640","3B","{5}"
"RMII_RX0","Bidirectional","05 MCU","5","SCHEMATIC1","U12.44","460","510","4C","{4}"
"RMII_RX1","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.7","750","650","3B","{5}"
"RMII_RX1","Bidirectional","05 MCU","5","SCHEMATIC1","U12.45","460","520","4C","{4}"
"RMII_TXD1","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.18","760","460","3C","{5}"
"RMII_TXD1","Bidirectional","05 MCU","5","SCHEMATIC1","U12.129","1060","220","2D","{4}"
"USART3_TX","Bidirectional","05 MCU","5","SCHEMATIC1","U12.69","460","760","4B","{3}"
"USART3_TX","Bidirectional","03 MODULE","3","SCHEMATIC1","R9.1","1160","450","2C","{5}"
"RMII_TXD0","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.17","760","470","3C","{5}"
"RMII_TXD0","Bidirectional","05 MCU","5","SCHEMATIC1","U12.128","1060","230","2D","{4}"
"RMII_TXEN","Bidirectional","04 EARTHNET","4","SCHEMATIC1","U11.16","760","480","3C","{5}"
"RMII_TXEN","Bidirectional","05 MCU","5","SCHEMATIC1","U12.126","1060","250","2D","{4}"
"USART3_RX","Bidirectional","05 MCU","5","SCHEMATIC1","U12.70","460","770","4B","{3}"
"USART3_RX","Bidirectional","03 MODULE","3","SCHEMATIC1","R8.1","1160","440","2C","{5}"
"KEY0","Bidirectional","05 MCU","5","SCHEMATIC1","U12.3","460","90","4D","{3}"
"KEY0","Bidirectional","03 MODULE","3","SCHEMATIC1","SW3.3","830","350","3C","{5}"
"KEY2","Bidirectional","05 MCU","5","SCHEMATIC1","U12.1","460","70","4D","{3}"
"KEY2","Bidirectional","03 MODULE","3","SCHEMATIC1","SW5.3","830","430","3C","{5}"
"USART2_TX","Bidirectional","05 MCU","5","SCHEMATIC1","U12.36","460","430","4C","{3,4}"
"USART2_TX","Bidirectional","03 MODULE","3","SCHEMATIC1","R7.1","1160","420","2C","{4,5}"
"ETH_MDIO","Bidirectional","04 EARTHNET","4","SCHEMATIC1","R36.2","750","600","3B","{3,5}"
"ETH_MDIO","Bidirectional","05 MCU","5","SCHEMATIC1","U12.36","460","420","4C","{3,4}"
